2009 Fuel Efficiency Data
Source: http://www.fueleconomy.gov
https://www.fueleconomy.gov/feg/download.shtml
Notes: Data columns reduced from original data file.

Class,Make,Model,NumCyl,CityMPG,HighwayMPG,CombinedMPG
COMPACT CARS,ROLLS-ROYCE,PHANTOM DROPHEAD COUPE,12,13.9939,24.2,17.2718
COMPACT CARS,SAAB,9-3 AERO SEDAN AWD,6,18.975,33.4571,23.5651
COMPACT CARS,SAAB,9-3 SPORT SEDAN,6,18.9663,33.2987,23.5223
COMPACT CARS,SATURN,ASTRA 2D HATCHBACK,4,31.1,42.1,35.2439
COMPACT CARS,SUBARU,IMPREZA AWD,4,23.9267,33.0743,27.3279
COMPACT CARS,SUBARU,IMPREZA AWD,4,25.0487,36.5784,29.1889
COMPACT CARS,SUBARU,LEGACY AWD,4,22.1443,33.2396,26.0586
COMPACT CARS,SUBARU,LEGACY AWD,4,25.0487,36.5784,29.1889
COMPACT CARS,SUBARU,LEGACY AWD,6,21.6249,33.5704,25.7478
COMPACT CARS,SUZUKI,SX4 SEDAN,4,29.2,42.9,34.1004
COMPACT CARS,SUZUKI,SX4 SPORT,4,28.4,41.6,33.1307
COMPACT CARS,TOYOTA,COROLLA,4,35,49.3,40.2543
COMPACT CARS,TOYOTA,COROLLA,4,27.6,42.6,32.7967
COMPACT CARS,VOLKSWAGEN,GTI,4,28.3522,40.3742,32.739
COMPACT CARS,VOLKSWAGEN,JETTA,4,28.3522,40.3742,32.739
COMPACT CARS,VOLKSWAGEN,JETTA,4,38.5034,56.6944,45.001
COMPACT CARS,VOLKSWAGEN,JETTA,5,24.9704,38.6874,29.7108
COMPACT CARS,VOLKSWAGEN,PASSAT CC,4,24.3,39,29.2635
COMPACT CARS,VOLKSWAGEN,PASSAT CC,6,21.2,35.1,25.7972
COMPACT CARS,VOLKSWAGEN,PASSAT CC 4MOTION,6,20.5,33.5,24.8373
COMPACT CARS,VOLKSWAGEN,RABBIT,5,24.9704,38.6874,29.7108
COMPACT CARS,VOLVO,C30 FWD,5,24.799,39.1979,29.7102
COMPACT CARS,VOLVO,C30 FWD,5,24.4014,39.3024,29.4209
COMPACT CARS,VOLVO,S40 AWD,5,22.1514,36.4702,26.9049
